|      | Madvare                                                                 | Kategori                                   | Enhed                                                 | Konverteringsfaktor   |
|  726 | Linser, diverse                                                         | Bælgfrugter                                | dl                                                    | 80                    |
|  727 | Ærter, gule (flækærter)                                                 | Bælgfrugter                                | dl                                                    | 70                    |
|  728 | Lasagneplade (tør)                                                      | Pasta                                      | dl                                                    | 25                    |
|  729 | Pasta, nudler (tør) skruer, sløjfer m.m.                                | Pasta                                      | dl                                                    | 50                    |
|  730 | Lasagneplade (tør)                                                      | Pasta                                      | vægtændringsfaktor                                    | 2.5                   |
|  731 | Pasta, (frisk)                                                          | Pasta                                      | vægtændringsfaktor                                    | 1.9                   |
|  732 | Pasta, nudler (tør) skruer, sløjfer m.m.                                | Pasta                                      | vægtændringsfaktor                                    | 2.5                   |
|  733 | Spaghetti                                                               | Pasta                                      | vægtændringsfaktor                                    | 3                     |
|  734 | Pasta, (frisk)                                                          | Pasta                                      | dl                                                    | 60                    |
|  735 | Pasta, nudler (tør) skruer, sløjfer m.m.                                | Pasta                                      | dl                                                    | 50                    |
|  736 | Spaghetti                                                               | Pasta                                      | dl                                                    | 60                    |
|  737 | Ris, brune                                                              | Ris                                        | dl                                                    | 85                    |
|  738 | Ris, grød                                                               | Ris                                        | dl                                                    | 90                    |
|  739 | Ris, løse (alle slags)                                                  | Ris                                        | dl                                                    | 80                    |
|  740 | Ris, brune                                                              | Ris                                        | vægtændringsfaktor                                    | 3.8                   |
|  741 | Ris, grød                                                               | Ris                                        | vægtændringsfaktor                                    | 2.5                   |
|  742 | Ris, løse (alle slags)                                                  | Ris                                        | vægtændringsfaktor                                    | 2.5                   |
|  743 | Ris, brune                                                              | Ris                                        | dl                                                    | 95                    |
|  744 | Ris, grød                                                               | Ris                                        | dl                                                    | 70                    |
|  745 | Ris, løse (alle slags)                                                  | Ris                                        | dl                                                    | 70                    |
|  746 | Bulgur                                                                  | Gryn og kerner                             | dl                                                    | 75                    |
|  747 | Cous cous                                                               | Gryn og kerner                             | dl                                                    | 75                    |
|  748 | Hvedekerner                                                             | Gryn og kerner                             | dl                                                    | 75                    |
|  749 | Perlebyg                                                                | Gryn og kerner                             | dl                                                    | 70                    |
|  750 | Quinoa                                                                  | Gryn og kerner                             | dl                                                    | 70                    |
|  751 | Speltkerner                                                             | Gryn og kerner                             | dl                                                    | 70                    |
|  752 | Bulgur                                                                  | Gryn og kerner                             | vægtændringsfaktor                                    | 2.5                   |
|  753 | Cous cous                                                               | Gryn og kerner                             | vægtændringsfaktor                                    | 2.0                   |
|  754 | Hvedekerner                                                             | Gryn og kerner                             | vægtændringsfaktor                                    | 2.5                   |
|  755 | Perlebyg                                                                | Gryn og kerner                             | vægtændringsfaktor                                    | 2.5                   |
|  756 | Quinoa                                                                  | Gryn og kerner                             | vægtændringsfaktor                                    | 2.5                   |
|  757 | Speltkerner                                                             | Gryn og kerner                             | vægtændringsfaktor                                    | 2.5                   |
|  758 | Bulgur                                                                  | Gryn og kerner                             | dl                                                    | 60                    |
|  759 | Cous cous                                                               | Gryn og kerner                             | dl                                                    | 85                    |
|  760 | Hvedekerner                                                             | Gryn og kerner                             | dl                                                    | 75                    |
|  761 | Perlebyg                                                                | Gryn og kerner                             | dl                                                    | 75                    |
|  762 | Quinoa                                                                  | Gryn og kerner                             | dl                                                    | 75                    |
|  763 | Speltkerner                                                             | Gryn og kerner                             | dl                                                    | 75                    |
|  764 | Agurk, rå                                                               | Grøntsager                                 | lille                                                 | 240                   |
|  765 | Agurk, rå, skive, Ø 4 cm                                                | Grøntsager                                 | lille                                                 | 7                     |
|  766 | Agurk, skole, rå                                                        | Grøntsager                                 | lille                                                 | 95                    |
|  767 | Artiskok, rå                                                            | Grøntsager                                 | lille                                                 | 90                    |
|  768 | Aubergine, rå                                                           | Grøntsager                                 | lille                                                 | 190                   |
|  769 | Avocado, rå                                                             | Grøntsager                                 | lille                                                 | 100                   |
|  770 | Bladselleri, rå, stilk (nettovægt)                                      | Grøntsager                                 | lille                                                 | 17                    |
|  771 | Blomkål, rå, buket,                                                     | Grøntsager                                 | lille                                                 | 10                    |
|  772 | Blomkål, rå, hoved                                                      | Grøntsager                                 | lille                                                 | 275                   |
|  773 | Broccoli, rå (købeportion)                                              | Grøntsager                                 | lille                                                 | 195                   |
|  774 | Broccoli, rå, buket                                                     | Grøntsager                                 | lille                                                 | 10                    |
|  775 | Agurk, rå                                                               | Grøntsager                                 | mellem                                                | 285                   |
|  776 | Agurk, rå, skive, Ø 4 cm                                                | Grøntsager                                 | mellem                                                | 15                    |
|  777 | Agurk, skole, rå                                                        | Grøntsager                                 | mellem                                                | 120                   |
|  778 | Agurk, syltet (agurkesalat), skive                                      | Grøntsager                                 | mellem                                                | 4                     |
|  779 | Artiskok, konserves, bund                                               | Grøntsager                                 | mellem                                                | 20                    |
|  780 | Artiskok, konserves, hjerte                                             | Grøntsager                                 | mellem                                                | 25                    |
|  781 | Artiskok, rå                                                            | Grøntsager                                 | mellem                                                | 130                   |
|  782 | Artiskok, rå, hjerte                                                    | Grøntsager                                 | mellem                                                | 50                    |
|  783 | Asie, syltet                                                            | Grøntsager                                 | mellem                                                | 15                    |
|  784 | Asparges, grønne, rå                                                    | Grøntsager                                 | mellem                                                | 13                    |
|  785 | Asparges, hvide, hele, kogt                                             | Grøntsager                                 | mellem                                                | 15                    |
|  786 | Asparges, hvide, rå                                                     | Grøntsager                                 | mellem                                                | 16                    |
|  787 | Asparges, konserves, lang 12 cm                                         | Grøntsager                                 | mellem                                                | 7                     |
|  788 | Aubergine, rå                                                           | Grøntsager                                 | mellem                                                | 265                   |
|  789 | Aubergine, rå, skive, Ø 7 cm, tyk 1 cm                                  | Grøntsager                                 | mellem                                                | 25                    |
|  790 | Avocado, rå                                                             | Grøntsager                                 | mellem                                                | 145                   |
|  791 | Avocado, rå, ½ frugt                                                    | Grøntsager                                 | mellem                                                | 75                    |
|  792 | Bladselleri, rå, hel                                                    | Grøntsager                                 | mellem                                                | 330                   |
|  793 | Bladselleri, rå, stilk (nettovægt)                                      | Grøntsager                                 | mellem                                                | 30                    |
|  794 | Blomkål, rå, buket,                                                     | Grøntsager                                 | mellem                                                | 25                    |
|  795 | Blomkål, rå, hoved                                                      | Grøntsager                                 | mellem                                                | 460                   |
|  796 | Broccoli, dybfrost, buket                                               | Grøntsager                                 | mellem                                                | 30                    |
|  797 | Broccoli, rå (købeportion)                                              | Grøntsager                                 | mellem                                                | 310                   |
|  798 | Broccoli, rå, buket                                                     | Grøntsager                                 | mellem                                                | 30                    |
|  799 | Agurk, rå                                                               | Grøntsager                                 | stor                                                  | 475                   |
|  800 | Agurk, rå, skive, Ø 4 cm                                                | Grøntsager                                 | stor                                                  | 75                    |
|  801 | Artiskok, rå                                                            | Grøntsager                                 | stor                                                  | 160                   |
|  802 | Asparges, grønne, rå                                                    | Grøntsager                                 | stor                                                  | 20                    |
|  803 | Avocado, rå                                                             | Grøntsager                                 | stor                                                  | 195                   |
|  804 | Bladselleri, rå, hel                                                    | Grøntsager                                 | stor                                                  | 640                   |
|  805 | Bladselleri, rå, stilk (nettovægt)                                      | Grøntsager                                 | stor                                                  | 40                    |
|  806 | Blomkål, rå, buket,                                                     | Grøntsager                                 | stor                                                  | 40                    |
|  807 | Blomkål, rå, hoved                                                      | Grøntsager                                 | stor                                                  | 645                   |
|  808 | Broccoli, rå (købeportion)                                              | Grøntsager                                 | stor                                                  | 390                   |
|  809 | Broccoli, rå, buket                                                     | Grøntsager                                 | stor                                                  | 60                    |
|  810 | Agurk, rå                                                               | Grøntsager                                 | dl                                                    | 55                    |
|  811 | Agurk, syltet (agurkesalat), skive                                      | Grøntsager                                 | dl                                                    | 55                    |
|  812 | Asparges, hvide, hele, kogt                                             | Grøntsager                                 | dl                                                    | 75                    |
|  813 | Asparges, konserves, lang 12 cm                                         | Grøntsager                                 | dl                                                    | 55                    |
|  814 | Aubergine, rå                                                           | Grøntsager                                 | dl                                                    | 30                    |
|  815 | Aubergine, rå, skive, Ø 7 cm, tyk 1 cm                                  | Grøntsager                                 | dl                                                    | 30                    |
|  816 | Avocado, rå                                                             | Grøntsager                                 | dl                                                    | 55                    |
|  817 | Avocado, rå, mos                                                        | Grøntsager                                 | dl                                                    | 95                    |
|  818 | Bladselleri, rå, stilk (nettovægt)                                      | Grøntsager                                 | dl                                                    | 50                    |
|  819 | Blomkål, rå, buket,                                                     | Grøntsager                                 | dl                                                    | 40                    |
|  820 | Blomkål, rå, hoved                                                      | Grøntsager                                 | dl                                                    | 50                    |
|  821 | Broccoli, dybfrost, buket                                               | Grøntsager                                 | dl                                                    | 65                    |
|  822 | Broccoli, rå, buket                                                     | Grøntsager                                 | dl                                                    | 65                    |
|  823 | Brøndkarse, rå                                                          | Grøntsager                                 | dl                                                    | 14                    |
|  824 | Fennikel, rå                                                            | Grøntsager                                 | lille                                                 | 70                    |
|  825 | Forårsløg, rå                                                           | Grøntsager                                 | lille                                                 | 10                    |
|  826 | Gulerod, rå                                                             | Grøntsager                                 | lille                                                 | 43                    |
|  827 | Hokaido, rå                                                             | Grøntsager                                 | lille                                                 | 480                   |
|  828 | Hvidkål, rå                                                             | Grøntsager                                 | lille                                                 | 600                   |
|  829 | Hvidløg, rå, fed                                                        | Grøntsager                                 | lille                                                 | 2                     |
|  830 | Ingefær, rod, rå (lille = 7,5 cm, mellem = 10 cm lang)                  | Grøntsager                                 | lille                                                 | 50                    |
|  831 | Bønner, grønne, rå                                                      | Grøntsager                                 | mellem                                                | 5                     |
|  832 | Champignon, konserves/ dybfrost, skive, tyk 0,3 cm                      | Grøntsager                                 | mellem                                                | 6                     |
|  833 | Champignon, rå                                                          | Grøntsager                                 | mellem                                                | 18                    |
|  834 | Champignon, rå, skive, tyk 0,5 cm                                       | Grøntsager                                 | mellem                                                | 3                     |
|  835 | Dild, rå, klippet                                                       | Grøntsager                                 | mellem                                                | 3                     |
|  836 | Drueagurk, konserves                                                    | Grøntsager                                 | mellem                                                | 20                    |
|  837 | Fennikel, rå                                                            | Grøntsager                                 | mellem                                                | 140                   |
|  838 | Forårsløg, rå                                                           | Grøntsager                                 | mellem                                                | 19                    |
|  839 | Glaskål (knudekål), rå                                                  | Grøntsager                                 | mellem                                                | 110                   |
|  840 | Græskar, rå                                                             | Grøntsager                                 | mellem                                                | 700                   |
|  841 | Grønkål, dybfrost, hakket (i kugler)                                    | Grøntsager                                 | mellem                                                | 40.0                  |
|  842 | Gulerod, kogt, styk, lang 5 cm                                          | Grøntsager                                 | mellem                                                | 25                    |
|  843 | Gulerod, rå                                                             | Grøntsager                                 | mellem                                                | 65                    |
|  844 | Hokaido, rå                                                             | Grøntsager                                 | mellem                                                | 900                   |
|  845 | Hvidkål, rå                                                             | Grøntsager                                 | mellem                                                | 1600                  |
|  846 | Hvidkål, rå, blad                                                       | Grøntsager                                 | mellem                                                | 60                    |
|  847 | Hvidløg, rå, ét feds                                                    | Grøntsager                                 | mellem                                                | 26                    |
|  848 | Hvidløg, rå, fed                                                        | Grøntsager                                 | mellem                                                | 3                     |
|  849 | Hvidløg, rå, helt (mellem = 10 fed, stor = 17 fed)                      | Grøntsager                                 | mellem                                                | 30                    |
|  850 | Ingefær, rod, rå (lille = 7,5 cm, mellem = 10 cm lang)                  | Grøntsager                                 | mellem                                                | 65                    |
|  851 | Fennikel, rå                                                            | Grøntsager                                 | stor                                                  | 325                   |
|  852 | Gulerod, rå                                                             | Grøntsager                                 | stor                                                  | 145                   |
|  853 | Hvidkål, rå                                                             | Grøntsager                                 | stor                                                  | 2400                  |
|  854 | Hvidløg, rå, ét feds                                                    | Grøntsager                                 | stor                                                  | 34                    |
|  855 | Hvidløg, rå, fed                                                        | Grøntsager                                 | stor                                                  | 6                     |
|  856 | Hvidløg, rå, helt (mellem = 10 fed, stor = 17 fed)                      | Grøntsager                                 | stor                                                  | 55                    |
|  857 | Bønner, grønne, rå                                                      | Grøntsager                                 | dl                                                    | 50                    |
|  858 | Champignon, konserves/ dybfrost, skive, tyk 0,3 cm                      | Grøntsager                                 | dl                                                    | 1.0714285714285714    |
|  859 | Champignon, rå                                                          | Grøntsager                                 | dl                                                    | 35                    |
|  860 | Champignon, rå, skive, tyk 0,5 cm                                       | Grøntsager                                 | dl                                                    | 35                    |
|  861 | Champignon, stegte                                                      | Grøntsager                                 | dl                                                    | 50                    |
|  862 | Dild, rå, klippet                                                       | Grøntsager                                 | dl                                                    | 17                    |
|  863 | Fennikel, rå                                                            | Grøntsager                                 | dl                                                    | 45                    |
|  864 | Grønkål, dybfrost, hakket (i kugler)                                    | Grøntsager                                 | dl                                                    | 55                    |
|  865 | Grønkål, rå                                                             | Grøntsager                                 | dl                                                    | 55                    |
|  866 | Gulerod, kogt, styk, lang 5 cm                                          | Grøntsager                                 | dl                                                    | 60                    |
|  867 | Gulerod, kogt, terninger                                                | Grøntsager                                 | dl                                                    | 65                    |
|  868 | Gulerod, rå, fint revet                                                 | Grøntsager                                 | dl                                                    | 50                    |
|  869 | Gulerod, rå, groft revet                                                | Grøntsager                                 | dl                                                    | 35                    |
|  870 | Hvidkål, kogt                                                           | Grøntsager                                 | dl                                                    | 60                    |
|  871 | Hvidkål, rå, groft revet                                                | Grøntsager                                 | dl                                                    | 40                    |
|  872 | Hvidkål, rå, snittet                                                    | Grøntsager                                 | dl                                                    | 30                    |
|  873 | Jordskok, rå                                                            | Grøntsager                                 | lille                                                 | 17                    |
|  874 | Julesalat, rå                                                           | Grøntsager                                 | lille                                                 | 70                    |
|  875 | Kartoffel, bage, rå                                                     | Grøntsager                                 | lille                                                 | 175                   |
|  876 | Kartoffel, bagt (uden skræl/med skræl)                                  | Grøntsager                                 | lille                                                 | 90                    |
|  877 | Kartoffel, rå                                                           | Grøntsager                                 | lille                                                 | 35                    |
|  878 | Kinakål, rå                                                             | Grøntsager                                 | lille                                                 | 465                   |
|  879 | Kålrabi, rå                                                             | Grøntsager                                 | lille                                                 | 425                   |
|  880 | Løg, rød, rå                                                            | Grøntsager                                 | lille                                                 | 65                    |
|  881 | Løg, rå                                                                 | Grøntsager                                 | lille                                                 | 55                    |
|  882 | Løg, rå, hakket                                                         | Grøntsager                                 | lille                                                 | 3                     |
|  883 | Løg, skalotte, rå                                                       | Grøntsager                                 | lille                                                 | 6                     |
|  884 | Jordskok, rå                                                            | Grøntsager                                 | mellem                                                | 35                    |
|  885 | Julesalat, rå                                                           | Grøntsager                                 | mellem                                                | 105                   |
|  886 | Kartoffel, bage, rå                                                     | Grøntsager                                 | mellem                                                | 200                   |
|  887 | Kartoffel, bagt (uden skræl/med skræl)                                  | Grøntsager                                 | mellem                                                | 160                   |
|  888 | Kartoffel, rå                                                           | Grøntsager                                 | mellem                                                | 60                    |
|  889 | Kinakål, rå                                                             | Grøntsager                                 | mellem                                                | 745                   |
|  890 | Kinaradise, rå                                                          | Grøntsager                                 | mellem                                                | 670                   |
|  891 | Krydderurter, rå, klippet/snittet                                       | Grøntsager                                 | mellem                                                | 2                     |
|  892 | Kålrabi, rå                                                             | Grøntsager                                 | mellem                                                | 640                   |
|  893 | Løg, ristede                                                            | Grøntsager                                 | mellem                                                | 5                     |
|  894 | Løg, rød, rå                                                            | Grøntsager                                 | mellem                                                | 135                   |
|  895 | Løg, rå                                                                 | Grøntsager                                 | mellem                                                | 100                   |
|  896 | Løg, rå, hakket                                                         | Grøntsager                                 | mellem                                                | 8                     |
|  897 | Løg, rå, skive                                                          | Grøntsager                                 | mellem                                                | 10                    |
|  898 | Løg, skalotte, rå                                                       | Grøntsager                                 | mellem                                                | 14                    |
|  899 | Løg, stegt, skiver                                                      | Grøntsager                                 | mellem                                                | 20                    |
|  900 | Majroe, rå                                                              | Grøntsager                                 | mellem                                                | 42                    |
|  901 | Majs, kerner, dybfrost og konserves                                     | Grøntsager                                 | mellem                                                | 30                    |
|  902 | Majs, kolbe, rå                                                         | Grøntsager                                 | mellem                                                | 55                    |
|  903 | Majs, mini, konserves                                                   | Grøntsager                                 | mellem                                                | 10                    |
|  904 | Majs, mini, rå                                                          | Grøntsager                                 | mellem                                                | 12                    |
|  905 | Oliven, grønne, marinerede, konserves                                   | Grøntsager                                 | mellem                                                | 5                     |
|  906 | Oliven, grønne, marinerede, konserves, 1 skive, tyk 0,2 cm              | Grøntsager                                 | mellem                                                | 1                     |
|  907 | Jordskok, rå                                                            | Grøntsager                                 | stor                                                  | 50                    |
|  908 | Julesalat, rå                                                           | Grøntsager                                 | stor                                                  | 175                   |
|  909 | Kartoffel, bage, rå                                                     | Grøntsager                                 | stor                                                  | 300                   |
|  910 | Kartoffel, bagt (uden skræl/med skræl)                                  | Grøntsager                                 | stor                                                  | 195                   |
|  911 | Kartoffel, rå                                                           | Grøntsager                                 | stor                                                  | 115                   |
|  912 | Kinakål, rå                                                             | Grøntsager                                 | stor                                                  | 1395                  |
|  913 | Kålrabi, rå                                                             | Grøntsager                                 | stor                                                  | 1275                  |
|  914 | Løg, rød, rå                                                            | Grøntsager                                 | stor                                                  | 210                   |
|  915 | Løg, rå                                                                 | Grøntsager                                 | stor                                                  | 210                   |
|  916 | Løg, skalotte, rå                                                       | Grøntsager                                 | stor                                                  | 27                    |
|  917 | Majs, kolbe, rå                                                         | Grøntsager                                 | stor                                                  | 90                    |
|  918 | Julesalat, rå, i strimler                                               | Grøntsager                                 | dl                                                    | 35                    |
|  919 | Kantareller, konserves                                                  | Grøntsager                                 | dl                                                    | 60                    |
|  920 | Kantareller, rå                                                         | Grøntsager                                 | dl                                                    | 30                    |
|  921 | Kartoffel, rå                                                           | Grøntsager                                 | dl                                                    | 70                    |
|  922 | Kinakål, rå                                                             | Grøntsager                                 | dl                                                    | 30                    |
|  923 | Kålrabi, rå                                                             | Grøntsager                                 | dl                                                    | 60                    |
|  924 | Løg, ristede                                                            | Grøntsager                                 | dl                                                    | 30                    |
|  925 | Løg, rå, hakket                                                         | Grøntsager                                 | dl                                                    | 60                    |
|  926 | Løg, rå, revet                                                          | Grøntsager                                 | dl                                                    | 100                   |
|  927 | Løg, rå, skive                                                          | Grøntsager                                 | dl                                                    | 40                    |
|  928 | Løg, stegt, skiver                                                      | Grøntsager                                 | dl                                                    | 70                    |
|  929 | Majs, kerner, dybfrost og konserves                                     | Grøntsager                                 | dl                                                    | 70                    |
|  930 | Oliven, grønne, marinerede, konserves                                   | Grøntsager                                 | dl                                                    | 45                    |
|  931 | Oliven, grønne, marinerede, konserves, 1 skive, tyk 0,2 cm              | Grøntsager                                 | dl                                                    | 55                    |
|  932 | Pastinak, rå                                                            | Grøntsager                                 | lille                                                 | 50                    |
|  933 | Peberfrugt, rå                                                          | Grøntsager                                 | lille                                                 | 115                   |
|  934 | Peberfrugt, snack, rå                                                   | Grøntsager                                 | lille                                                 | 30                    |
|  935 | Persillerod, rå                                                         | Grøntsager                                 | lille                                                 | 35                    |
|  936 | Porre, rå                                                               | Grøntsager                                 | lille                                                 | 130                   |
|  937 | Rosenkål, rå                                                            | Grøntsager                                 | lille                                                 | 8                     |
|  938 | Rødbede, rå                                                             | Grøntsager                                 | lille                                                 | 35                    |
|  939 | Rødkål, rå                                                              | Grøntsager                                 | lille                                                 | 520                   |
|  940 | Salat, hjerte (lille Romaine), rå                                       | Grøntsager                                 | lille                                                 | 65                    |
